System,Version,SLOC,Files,Exprs,Stmts,Variable Variables,Variable Function Calls,Variable Method Calls,Variable News,Variable Properties,Variable Class Constants,Variable Static Calls,Variable Static Targets,Variable Static Properties,Variable Static Property Targets,All Variable Features,Magic Sets,Magic Gets,Magic isSets,Magic Unsets,Magic Calls,Magic Static Calls,All Magic Methods,Total Includes,Dynamic Includes,Eval,Create Function Uses,All Eval Features,CallUserFunc,CallUserFuncArray,CallUserMethod,CallUserMethodArray,All Dynamic Invocations
phpMyAdmin,2.11.1.2,164717,348,523898,143978,42,32,3,1,3,0,0,0,0,0,81,0,0,0,0,0,0,0,631,33,5,1,6,0,0,0,0,0
phpMyAdmin,2.11.1.1,164708,348,523866,143972,42,32,3,1,3,0,0,0,0,0,81,0,0,0,0,0,0,0,631,33,5,1,6,0,0,0,0,0
phpMyAdmin,2.11.2.2,164754,348,524038,143998,42,32,3,1,3,0,0,0,0,0,81,0,0,0,0,0,0,0,631,33,5,1,6,0,0,0,0,0
phpMyAdmin,2.11.2,164745,348,524029,143992,42,32,3,1,3,0,0,0,0,0,81,0,0,0,0,0,0,0,631,33,5,1,6,0,0,0,0,0
phpMyAdmin,2.11.2.1,164754,348,524036,143998,42,32,3,1,3,0,0,0,0,0,81,0,0,0,0,0,0,0,631,33,5,1,6,0,0,0,0,0
phpMyAdmin,2.11.3,164791,348,524099,144018,42,32,3,1,3,0,0,0,0,0,81,0,0,0,0,0,0,0,631,33,5,1,6,0,0,0,0,0
phpMyAdmin,2.11.4,164853,348,524338,144063,42,32,3,1,3,0,0,0,0,0,81,0,0,0,0,0,0,0,631,33,5,1,6,0,0,0,0,0
phpMyAdmin,2.11.5.1,164965,348,524740,144190,42,32,3,1,3,0,0,0,0,0,81,0,0,0,0,0,0,0,631,33,5,1,6,0,0,0,0,0
phpMyAdmin,2.11.5,164965,348,524732,144188,42,32,3,1,3,0,0,0,0,0,81,0,0,0,0,0,0,0,631,33,5,1,6,0,0,0,0,0
phpMyAdmin,2.11.5.2,164966,348,524747,144192,42,32,3,1,3,0,0,0,0,0,81,0,0,0,0,0,0,0,631,33,5,1,6,0,0,0,0,0
phpMyAdmin,2.11.6,165050,348,524908,144232,42,32,3,1,3,0,0,0,0,0,81,0,0,0,0,0,0,0,631,33,5,1,6,0,0,0,0,0
phpMyAdmin,2.11.7.1,165277,348,525300,144385,42,32,3,1,3,0,0,0,0,0,81,0,0,0,0,0,0,0,631,33,5,1,6,0,0,0,0,0
