System,Version,SLOC,Files,Exprs,Stmts,Variable Variables,Variable Function Calls,Variable Method Calls,Variable News,Variable Properties,Variable Class Constants,Variable Static Calls,Variable Static Targets,Variable Static Properties,Variable Static Property Targets,All Variable Features,Magic Sets,Magic Gets,Magic isSets,Magic Unsets,Magic Calls,Magic Static Calls,All Magic Methods,Total Includes,Dynamic Includes,Eval,Create Function Uses,All Eval Features,CallUserFunc,CallUserFuncArray,CallUserMethod,CallUserMethodArray,All Dynamic Invocations
MediaWiki,1.3.5,82620,273,170217,24121,13,11,8,7,11,0,0,0,0,0,50,0,0,0,0,0,0,0,296,71,3,2,5,0,0,0,0,0
MediaWiki,1.3.6,82656,273,170375,24142,13,11,8,7,11,0,0,0,0,0,50,0,0,0,0,0,0,0,297,71,3,2,5,0,0,0,0,0
MediaWiki,1.3.7,82656,273,170376,24142,13,11,8,7,11,0,0,0,0,0,50,0,0,0,0,0,0,0,297,71,3,2,5,0,0,0,0,0
MediaWiki,1.3.8,83927,275,172655,24300,13,11,8,7,11,0,0,0,0,0,50,0,0,0,0,0,0,0,301,71,3,2,5,3,3,0,0,6
MediaWiki,1.3.9,84004,275,172881,24351,13,11,8,7,11,0,0,0,0,0,50,0,0,0,0,0,0,0,301,71,3,2,5,3,3,0,0,6
MediaWiki,1.3.10,84053,275,172983,24381,13,11,8,7,11,0,0,0,0,0,50,0,0,0,0,0,0,0,301,71,3,2,5,0,0,0,0,0
MediaWiki,1.3.11,84173,275,173300,24421,13,11,8,7,11,0,0,0,0,0,50,0,0,0,0,0,0,0,301,71,3,2,5,0,0,0,0,0
MediaWiki,1.3.12,84163,275,173279,24418,13,11,8,7,11,0,0,0,0,0,50,0,0,0,0,0,0,0,301,71,3,2,5,0,0,0,0,0
MediaWiki,1.3.13,84175,275,173309,24421,13,11,8,7,11,0,0,0,0,0,50,0,0,0,0,0,0,0,301,71,3,2,5,0,0,0,0,0
MediaWiki,1.3.14,84179,275,173319,24424,13,11,8,7,11,0,0,0,0,0,50,0,0,0,0,0,0,0,301,71,3,2,5,0,0,0,0,0
MediaWiki,1.3.15,84179,275,173319,24425,13,11,8,7,11,0,0,0,0,0,50,0,0,0,0,0,0,0,301,71,3,2,5,0,0,0,0,0
MediaWiki,1.3.16,84180,275,173325,24425,13,11,8,7,11,0,0,0,0,0,50,0,0,0,0,0,0,0,301,71,3,2,5,0,0,0,0,0
MediaWiki,1.3.17,84185,275,173349,24430,13,11,8,7,11,0,0,0,0,0,50,0,0,0,0,0,0,0,301,71,3,2,5,0,0,0,0,0
MediaWiki,1.3.18,84186,275,173343,24431,13,11,8,7,11,0,0,0,0,0,50,0,0,0,0,0,0,0,301,71,3,2,5,0,0,0,0,0
MediaWiki,1.4.0,95949,284,204844,26206,6,8,4,8,10,0,0,0,0,0,36,0,0,0,0,0,0,0,361,22,3,2,5,0,0,0,0,0
MediaWiki,1.4.1,96648,296,207849,26831,6,8,4,8,10,0,0,0,0,0,36,0,0,0,0,0,0,0,373,22,3,2,5,0,0,0,0,0
MediaWiki,1.4.2,96657,296,207885,26858,6,8,4,8,10,0,0,0,0,0,36,0,0,0,0,0,0,0,373,22,3,2,5,0,0,0,0,0
